Name,Type,Cat.,Power,Acc.,PP,TM,Effect,Prob. (%)
Instruct,Psychic,,—,—,15,,Allows an ally to use a move instead.,
Ion Deluge,Electric,,—,—,25,,Changes Normal-type moves to Electric-type.,—
Iron Defense,Steel,,—,—,15,,Sharply raises user's Defense.,—
Iron Head,Steel,,80,100,15,,May cause flinching.,30
Iron Tail,Steel,,100,75,15,,May lower opponent's Defense.,10
Jaw Lock,Dark,,80,100,10,,Prevents user and opponent from switching out.,
Judgment,Normal,,100,100,10,,Type depends on the Arceus Plate being held.,—
Jump Kick,Fighting,,100,95,10,,"If it misses, the user loses half their HP.",—
Karate Chop,Fighting,,50,100,25,,High critical hit ratio.,—
Kinesis,Psychic,,—,80,15,,Lowers opponent's Accuracy.,—
King's Shield,Steel,,—,—,10,,Protects the user and lowers opponent's Attack on contact.,—
Knock Off,Dark,,65,100,20,,Removes opponent's held item for the rest of the battle.,—
Land's Wrath,Ground,,90,100,10,,,—
Laser Focus,Normal,,—,—,30,,User's next attack is guaranteed to result in a critical hit.,
Last Resort,Normal,,140,100,5,,Can only be used after all other moves are used.,—
Lava Plume,Fire,,80,100,15,,May burn opponent.,30
Leaf Blade,Grass,,90,100,15,,High critical hit ratio.,—
Leaf Storm,Grass,,130,90,5,,Sharply lowers user's Special Attack.,—
Leaf Tornado,Grass,,65,90,10,,May lower opponent's Accuracy.,30
Leafage,Grass,,40,100,40,,Strikes opponent with leaves.,
Leech Life,Bug,,80,100,10,TM28,User recovers half the HP inflicted on opponent.,—
Leech Seed,Grass,,—,90,10,,Drains HP from opponent each turn.,—
Leer,Normal,,—,100,30,,Lowers opponent's Defense.,—
Let's Snuggle Forever,Fairy,,190,—,1,,Mimikyu-exclusive Z-Move.,
Lick,Ghost,,30,100,30,,May paralyze opponent.,30
Life Dew,Water,,—,—,10,,User and teammates recover HP.,
Light of Ruin,Fairy,,140,90,5,,User receives recoil damage.,—
Light Screen,Psychic,,—,—,30,TM16,Halves damage from Special attacks for 5 turns.,—
Light That Burns the Sky,Psychic,,200,—,1,,Ultra Necrozma-exclusive Z-Move. Ignores target's ability; uses highest Attack stat.,
Liquidation,Water,,85,100,10,,The user slams into the target using a full-force blast of water. This may also lower the target's Defense stat.,
Lock-On,Normal,,—,—,5,,User's next attack is guaranteed to hit.,—
Lovely Kiss,Normal,,—,75,10,,Puts opponent to sleep.,—
Low Kick,Fighting,,—,100,20,,"The heavier the opponent, the stronger the attack.",—
Low Sweep,Fighting,,65,100,20,TM47,Lowers opponent's Speed.,100
Lucky Chant,Normal,,—,—,30,,Opponent cannot land critical hits for 5 turns.,—
Lunar Dance,Psychic,,—,—,10,,The user faints but the next Pokémon released is fully healed.,—
Lunge,Bug,,80,100,15,,"The user makes a lunge at the target, attacking with full force. This also lowers the target's Attack stat.",
Luster Purge,Psychic,,70,100,5,,May lower opponent's Special Defense.,50
Mach Punch,Fighting,,40,100,30,,User attacks first.,—
Magic Coat,Psychic,,—,—,15,,Reflects moves that cause status conditions back to the attacker.,—
Magic Powder,Psychic,,—,100,20,,Changes target's type to Psychic.,
Magic Room,Psychic,,—,—,10,,Suppresses the effects of held items for five turns.,—
Magical Leaf,Grass,,60,∞,20,,Ignores Accuracy and Evasiveness.,—
Magma Storm,Fire,,100,75,5,,"Traps opponent, damaging them for 4-5 turns.",—
Magnet Bomb,Steel,,60,∞,20,,Ignores Accuracy and Evasiveness.,—
Magnet Rise,Electric,,—,—,10,,User becomes immune to Ground-type moves for 5 turns.,—
Magnetic Flux,Electric,,—,—,20,,Raises Defense and Sp. Defense of Plus/Minus Pokémon.,—
Magnitude,Ground,,—,100,30,,Hits with random power.,—
Malicious Moonsault,Dark,,180,—,1,,Incineroar-exclusive Z-Move.,
Mat Block,Fighting,,—,—,10,,Protects teammates from damaging moves.,—
Max Airstream,Flying,—,—,—,—,,Flying type Dynamax move. Raises the team's Speed.,
Max Darkness,Dark,—,—,—,—,,Dark type Dynamax move. Lowers the target's Special Defense.,
Max Flare,Fire,—,—,—,—,,Fire type Dynamax move. Summons harsh sunlight.,
Max Flutterby,Bug,—,—,—,—,,Bug type Dynamax move. Lowers the target's Special Attack.,
Max Geyser,Water,—,—,—,—,,Water type Dynamax move. Summons heavy rain.,
Max Guard,Normal,—,—,—,—,,Status category Dynamax move. Protects the user.,
Max Hailstorm,Ice,—,—,—,—,,Ice type Dynamax move. Summons hail.,
Max Knuckle,Fighting,—,—,—,—,,Fighting type Dynamax move. Increases the team's Attack.,
Max Lightning,Electric,—,—,—,—,,Electric type Dynamax move. Summons Electric Terrain.,
Max Mindstorm,Psychic,—,—,—,—,,Psychic type Dynamax move. Summons Psychic Terrain.,
Max Ooze,Poison,—,—,—,—,,Poison type Dynamax move. Increases the team's Special Attack.,
Max Overgrowth,Grass,—,—,—,—,,Grass type Dynamax move. Summons Grassy Terrain.,
Max Phantasm,Ghost,—,—,—,—,,Ghost type Dynamax move. Lowers the target's Defense.,
Max Quake,Ground,—,—,—,—,,Ground type Dynamax move. Increases the team's Special Defense.,
Max Rockfall,Rock,—,—,—,—,,Rock type Dynamax move. Summons a sandstorm.,
Max Starfall,Fairy,—,—,—,—,,Fairy type Dynamax move. Summons Misty Terrain.,
Max Steelspike,Steel,—,—,—,—,,Steel type Dynamax move. Raises the team's Defense.,
Max Strike,Normal,—,—,—,—,,Normal type Dynamax move. Lowers the target's Speed.,
Max Wyrmwind,Dragon,—,—,—,—,,Dragon type Dynamax move. Lowers the target's Attack.,
Me First,Normal,,—,—,20,,User copies the opponent's attack with 1.5× power.,—
Mean Look,Normal,,—,—,5,,Opponent cannot flee or switch.,—
Meditate,Psychic,,—,—,40,,Raises user's Attack.,—
Mega Drain,Grass,,40,100,15,,User recovers half the HP inflicted on opponent.,—
Mega Kick,Normal,,120,75,5,,,—
Mega Punch,Normal,,80,85,20,,,—
Megahorn,Bug,,120,85,10,,,—
Memento,Dark,,—,100,10,,"User faints, sharply lowers opponent's Attack and Special Attack.",—
Menacing Moonraze Maelstrom,Ghost,,200,—,1,,Lunala-exclusive Z-Move.,
Metal Burst,Steel,,—,100,10,,Deals damage equal to 1.5x opponent's attack.,—
Metal Claw,Steel,,50,95,35,,May raise user's Attack.,10
Metal Sound,Steel,,—,85,40,,Sharply lowers opponent's Special Defense.,—
Meteor Assault,Fighting,,150,100,5,,User must recharge next turn.,
Meteor Mash,Steel,,90,90,10,,May raise user's Attack.,20
Metronome,Normal,,—,—,10,,User performs almost any move in the game at random.,—
Milk Drink,Normal,,—,—,10,,User recovers half its max HP.,—
Mimic,Normal,,—,—,10,,Copies the opponent's last move.,—
Mind Blown,Fire,,150,100,5,,User receives recoil damage.,
Mind Reader,Normal,,—,—,5,,User's next attack is guaranteed to hit.,—
Minimize,Normal,,—,—,10,,Sharply raises user's Evasiveness.,—
Miracle Eye,Psychic,,—,—,40,,"Resets opponent's Evasiveness, removes Dark's Psychic immunity.",—
Mirror Coat,Psychic,,—,100,20,,"When hit by a Special Attack, user strikes back with 2x power.",—
Mirror Move,Flying,,—,—,20,,User performs the opponent's last move.,—
Mirror Shot,Steel,,65,85,10,,May lower opponent's Accuracy.,30
Mist,Ice,,—,—,30,,User's stats cannot be changed for a period of time.,—
Mist Ball,Psychic,,70,100,5,,May lower opponent's Special Attack.,50
Misty Terrain,Fairy,,—,—,10,,Protects the field from status conditions for 5 turns.,—
Moonblast,Fairy,,95,100,15,,May lower opponent's Special Attack.,30
Moongeist Beam,Ghost,,100,100,5,,Ignores the target's ability.,
Moonlight,Fairy,,—,—,5,,User recovers HP. Amount varies with the weather.,—
Morning Sun,Normal,,—,—,5,,User recovers HP. Amount varies with the weather.,—
Mud Bomb,Ground,,65,85,10,,May lower opponent's Accuracy.,30
Mud Shot,Ground,,55,95,15,,Lowers opponent's Speed.,100
Mud Sport,Ground,,—,—,15,,Weakens the power of Electric-type moves.,—
Mud-Slap,Ground,,20,100,10,,Lowers opponent's Accuracy.,100
Muddy Water,Water,,90,85,10,,May lower opponent's Accuracy.,30
Multi-Attack,Normal,,90,100,10,,Type matches user's current type.,
Mystical Fire,Fire,,75,100,10,,Lowers opponent's Special Attack.,100
Nasty Plot,Dark,,—,—,20,,Sharply raises user's Special Attack.,—
Natural Gift,Normal,,—,100,15,,Power and type depend on the user's held berry.,—
Nature Power,Normal,,—,—,20,TM96,Uses a certain move based on the current terrain.,—
Nature's Madness,Fairy,,—,90,10,,Halves the foe's HP.,
Needle Arm,Grass,,60,100,15,,May cause flinching.,30
Never-Ending Nightmare,Ghost,—,—,—,1,,Ghost type Z-Move.,
Night Daze,Dark,,85,95,10,,May lower opponent's Accuracy.,40
Night Shade,Ghost,,—,100,15,,Inflicts damage equal to user's level.,—
Night Slash,Dark,,70,100,15,,High critical hit ratio.,—
Nightmare,Ghost,,—,100,15,,The sleeping opponent loses 25% of its max HP each turn.,—
No Retreat,Fighting,,—,—,5,,Raises all stats but user cannot switch out.,
Noble Roar,Normal,,—,100,30,,Lowers opponent's Attack and Special Attack.,—
Nuzzle,Electric,,20,100,20,,Paralyzes opponent.,100
Oblivion Wing,Flying,,80,100,10,,User recovers most of the HP inflicted on opponent.,—
Obstruct,Dark,,—,100,10,,Protects the user and sharply lowers Defence on contact.,
Oceanic Operetta,Water,,195,—,1,,Primarina-exclusive Z-Move.,
Octazooka,Water,,65,85,10,,May lower opponent's Accuracy.,50
Octolock,Fighting,,—,100,15,,"Lowers opponent's Defense and Special Defense every turn, and they cannot flee or switch out.",
Odor Sleuth,Normal,,—,—,40,,"Resets opponent's Evasiveness, Normal-type and Fighting-type attacks can now hit Ghosts, and Ghost-type attacks hit Normal.",—
Ominous Wind,Ghost,,60,100,5,,May raise all user's stats at once.,10
Origin Pulse,Water,,110,85,10,,Hits all adjacent opponents.,—
Outrage,Dragon,,120,100,10,,User attacks for 2-3 turns but then becomes confused.,—
Overdrive,Electric,,80,100,10,,,
Overheat,Fire,,130,90,5,TM50,Sharply lowers user's Special Attack.,—
Pain Split,Normal,,—,—,20,,The user's and opponent's HP becomes the average of both.,—
Parabolic Charge,Electric,,65,100,20,,User recovers half the HP inflicted on opponent.,—
Parting Shot,Dark,,—,100,20,,Lowers opponent's Attack and Special Attack then switches out. ,—
Pay Day,Normal,,40,100,20,,A small amount of money is gained after the battle resolves.,—
Payback,Dark,,50,100,10,TM66,Power doubles if the user was attacked first.,—
Peck,Flying,,35,100,35,,,—
Perish Song,Normal,,—,—,5,,Any Pokémon in play when this attack is used faints in 3 turns.,—
Petal Blizzard,Grass,,90,100,15,,Hits all adjacent Pokémon.,—
Petal Dance,Grass,,120,100,10,,User attacks for 2-3 turns but then becomes confused.,—
Phantom Force,Ghost,,90,100,10,,"Disappears on first turn, attacks on second. Can strike through Protect/Detect.",—
Photon Geyser,Psychic,,100,100,5,,"Uses Attack or Special Attack stat, whichever is higher.",
Pika Papow,Electric,,—,∞,20,,Power increases when player's bond is stronger.,
Pin Missile,Bug,,25,95,20,,Hits 2-5 times in one turn.,—
Plasma Fists,Electric,,100,100,15,,Changes Normal-type moves to Electric-type moves.,
Play Nice,Normal,,—,—,20,,Lowers opponent's Attack. Always hits.,—
Play Rough,Fairy,,90,90,10,,May lower opponent's Attack.,10
Pluck,Flying,,60,100,20,,"If the opponent is holding a berry, its effect is stolen by user.",—
Poison Fang,Poison,,50,100,15,,May badly poison opponent.,50
Poison Gas,Poison,,—,90,40,,Poisons opponent.,—
Poison Jab,Poison,,80,100,20,TM84,May poison the opponent.,30
Poison Powder,Poison,,—,75,35,,Poisons opponent.,—
Poison Sting,Poison,,15,100,35,,May poison the opponent.,30
Poison Tail,Poison,,50,100,25,,High critical hit ratio. May poison opponent.,10
Pollen Puff,Bug,,90,100,15,,Deals damage to opponent or restores HP of teammate.,
Pound,Normal,,40,100,35,,,—
Powder,Bug,,—,100,20,,Damages Pokémon using Fire type moves.,—
Powder Snow,Ice,,40,100,25,,May freeze opponent.,10
Power Gem,Rock,,80,100,20,,,—
Power Split,Psychic,,—,—,10,,Averages Attack and Special Attack with the target.,—
Power Swap,Psychic,,—,—,10,,User and opponent swap Attack and Special Attack.,—
Power Trick,Psychic,,—,—,10,,User's own Attack and Defense switch.,—
Power Trip,Dark,,20,100,10,,"The user boasts its strength and attacks the target. The more the user's stats are raised, the greater the move's power.",
Power Whip,Grass,,120,85,10,,,—
Power-Up Punch,Fighting,,40,100,10,,Raises Attack.,100
Precipice Blades,Ground,,120,85,10,,Hits all adjacent opponents.,—
Present,Normal,,—,90,15,,Either deals damage or heals.,—
Prismatic Laser,Psychic,,160,100,10,,The user shoots powerful lasers using the power of a prism. The user can't move on the next turn.,
Protect,Normal,,—,—,10,TM17,"Protects the user, but may fail if used consecutively.",—
Psybeam,Psychic,,65,100,20,,May confuse opponent.,10
Psych Up,Normal,,—,—,10,TM77,Copies the opponent's stat changes.,—
Psychic,Psychic,,90,100,10,TM29,May lower opponent's Special Defense.,10
Psychic Fangs,Psychic,,85,100,10,,The user bites the target with its psychic capabilities. This can also destroy Light Screen and Reflect.,
Psychic Terrain,Psychic,,—,—,10,,Prevents priority moves from being used for 5 turns.,—
Psycho Boost,Psychic,,140,90,5,,Sharply lowers user's Special Attack.,—
Psycho Cut,Psychic,,70,100,20,,High critical hit ratio.,—
Psycho Shift,Psychic,,—,90,10,,"Gives the opponent the user's status condition, if it hits.",—
Psyshock,Psychic,,80,100,10,TM03,"Inflicts damage based on the target's Defense, not Special Defense.",—
Psystrike,Psychic,,100,100,10,,"Inflicts damage based on the target's Defense, not Special Defense.",—
Psywave,Psychic,,—,80,15,,Inflicts damage 50-150% of user's level.,—
Pulverizing Pancake,Normal,,210,—,1,,Snorlax-exclusive Normal type Z-Move.,
Punishment,Dark,,—,100,5,,Power increases when opponent's stats have been raised.,—
Purify,Poison,,—,—,20,,"The user heals the target's status condition. If the move succeeds, it also restores the user's own HP.",
Pursuit,Dark,,40,100,20,,Double power if the opponent is switching out.,—
Pyro Ball,Fire,,120,90,5,,May burn opponent.,
Quash,Dark,,—,100,15,TM60,Makes the target act last this turn.,—
Quick Attack,Normal,,40,100,30,,User attacks first.,—
Quick Guard,Fighting,,—,—,15,,Protects the user's team from high-priority moves.,—
Quiver Dance,Bug,,—,—,20,,"Raises user's Special Attack, Special Defense and Speed.",—
Rage,Normal,,20,100,20,,Raises user's Attack when hit.,—
Rage Powder,Bug,,—,—,20,,"Forces attacks to hit user, not team-mates.",—
Rain Dance,Water,,—,—,5,TM18,Makes it rain for 5 turns.,—
Rapid Spin,Normal,,20,100,40,,Removes effects of trap moves.,—
Razor Leaf,Grass,,55,95,25,,High critical hit ratio.,—
Razor Shell,Water,,75,95,10,,May lower opponent's Defense.,50
Razor Wind,Normal,,80,100,10,,"Charges on first turn, attacks on second. High critical hit ratio.",—
Recover,Normal,,—,—,10,,User recovers half its max HP.,—
Recycle,Normal,,—,—,10,,User's used hold item is restored.,—
Reflect,Psychic,,—,—,20,TM33,Halves damage from Physical attacks for 5 turns.,—
Reflect Type,Normal,,—,—,15,,User becomes the target's type.,—
Refresh,Normal,,—,—,20,,"Cures paralysis, poison, and burns.",—
Relic Song,Normal,,75,100,10,,May put the target to sleep.,10
Rest,Psychic,,—,—,10,TM44,"User sleeps for 2 turns, but user is fully healed.",—
Retaliate,Normal,,70,100,5,,Inflicts double damage if a teammate fainted on the last turn.,—
Return,Normal,,—,100,20,TM27,Power increases with higher Friendship.,—
Revelation Dance,Normal,,90,100,15,,Type changes based on Oricorio's form.,
Revenge,Fighting,,60,100,10,,Power increases if user was hit first.,—
Reversal,Fighting,,—,100,15,,"The lower the user's HP, the higher the power.",—
Roar,Normal,,—,—,20,TM05,"In battles, the opponent switches. In the wild, the Pokémon runs.",—
Roar of Time,Dragon,,150,90,5,,User must recharge next turn.,—
Rock Blast,Rock,,25,90,10,,Hits 2-5 times in one turn.,—
Rock Climb,Normal,,90,85,20,,May confuse opponent.,20
Rock Polish,Rock,,—,—,20,TM69,Sharply raises user's Speed.,—
Rock Slide,Rock,,75,90,10,TM80,May cause flinching.,30
Rock Smash,Fighting,,40,100,15,,May lower opponent's Defense.,50
Rock Throw,Rock,,50,90,15,,,—
Rock Tomb,Rock,,60,95,15,TM39,Lowers opponent's Speed.,100
Rock Wrecker,Rock,,150,90,5,,User must recharge next turn.,—
Role Play,Psychic,,—,—,15,,User copies the opponent's Ability.,—
Rolling Kick,Fighting,,60,85,15,,May cause flinching.,30
Rollout,Rock,,30,90,20,,Doubles in power each turn for 5 turns.,—
Roost,Flying,,—,—,10,TM19,User recovers half of its max HP and loses the Flying type temporarily.,—
Rototiller,Ground,,—,—,10,,Raises Attack and Special Attack of Grass-types.,—
Round,Normal,,60,100,15,TM48,Power increases if teammates use it in the same turn.,—
Sacred Fire,Fire,,100,95,5,,May burn opponent.,50
Sacred Sword,Fighting,,90,100,20,,Ignores opponent's stat changes.,—
Safeguard,Normal,,—,—,25,TM20,The user's party is protected from status conditions.,—
Sand Attack,Ground,,—,100,15,,Lowers opponent's Accuracy.,—
Sand Tomb,Ground,,35,85,15,,"Traps opponent, damaging them for 4-5 turns.",—
Sandstorm,Rock,,—,—,10,TM37,Creates a sandstorm for 5 turns.,—
Sappy Seed,Grass,,90,100,15,,Drains HP from opponent each turn.,100
Savage Spin-Out,Bug,—,—,—,1,,Bug type Z-Move.,
Scald,Water,,80,100,15,TM55,May burn opponent.,30
Scary Face,Normal,,—,100,10,,Sharply lowers opponent's Speed.,—
Scratch,Normal,,40,100,35,,,—
Screech,Normal,,—,85,40,,Sharply lowers opponent's Defense.,—
Searing Shot,Fire,,100,100,5,,May burn opponent.,30
Searing Sunraze Smash,Steel,,200,—,1,,Solgaleo-exclusive Z-Move.,
Secret Power,Normal,,70,100,20,,Effects of the attack vary with the location.,30
Secret Sword,Fighting,,85,100,10,,"Inflicts damage based on the target's Defense, not Special Defense.",—
Seed Bomb,Grass,,80,100,15,,,—
Seed Flare,Grass,,120,85,5,,May lower opponent's Special Defense.,40
Seismic Toss,Fighting,,—,100,20,,Inflicts damage equal to user's level.,—
Self-Destruct,Normal,,200,100,5,,User faints.,—
Shadow Ball,Ghost,,80,100,15,TM30,May lower opponent's Special Defense.,20
Shadow Bone,Ghost,,85,100,10,,The user attacks by beating the target with a bone that contains a spirit. This may also lower the target's Defense stat.,
Shadow Claw,Ghost,,70,100,15,TM65,High critical hit ratio.,—
Shadow Force,Ghost,,120,100,5,,"Disappears on first turn, attacks on second. Can strike through Protect/Detect.",—
Shadow Punch,Ghost,,60,∞,20,,Ignores Accuracy and Evasiveness.,—
Shadow Sneak,Ghost,,40,100,30,,User attacks first.,—
Sharpen,Normal,,—,—,30,,Raises user's Attack.,—
Shattered Psyche,Psychic,—,—,—,1,,Psychic type Z-Move.,
Sheer Cold,Ice,,—,—,5,,"One-Hit-KO, if it hits.",—
Shell Smash,Normal,,—,—,15,,"Sharply raises user's Attack, Special Attack and Speed but lowers Defense and Special Defense.",—
Shell Trap,Fire,,150,100,5,,Deals more damage to opponent if hit by a Physical move.,
Shift Gear,Steel,,—,—,10,,Raises user's Attack and sharply raises Speed.,—
Shock Wave,Electric,,60,∞,20,,Ignores Accuracy and Evasiveness.,—
Shore Up,Ground,,—,—,10,,The user regains up to half of its max HP. It restores more HP in a sandstorm.,
Signal Beam,Bug,,75,100,15,,May confuse opponent.,10
Silver Wind,Bug,,60,100,5,,May raise all stats of user at once.,10
Simple Beam,Normal,,—,100,15,,Changes target's ability to Simple.,—
Sing,Normal,,—,55,15,,Puts opponent to sleep.,100
Sinister Arrow Raid,Ghost,,180,—,1,,Decidueye-exclusive Z-Move.,
Sizzly Slide,Fire,,90,100,15,,Burns the opponent.,
Sketch,Normal,,—,—,1,,Permanently copies the opponent's last move.,—
Skill Swap,Psychic,,—,—,10,,The user swaps Abilities with the opponent.,—
Skull Bash,Normal,,130,100,10,,"Raises Defense on first turn, attacks on second.",100
Sky Attack,Flying,,140,90,5,,"Charges on first turn, attacks on second. May cause flinching.",30
Sky Drop,Flying,,60,100,10,TM58,"Takes opponent into the air on first turn, drops them on second turn.",—
Sky Uppercut,Fighting,,85,90,15,,"Hits the opponent, even during Fly.",—
Slack Off,Normal,,—,—,10,,User recovers half its max HP.,—
Slam,Normal,,80,75,20,,,—
Slash,Normal,,70,100,20,,High critical hit ratio.,—
Sleep Powder,Grass,,—,75,15,,Puts opponent to sleep.,—
Sleep Talk,Normal,,—,—,10,TM88,User performs one of its own moves while sleeping.,—
Sludge,Poison,,65,100,20,,May poison opponent.,30
Sludge Bomb,Poison,,90,100,10,TM36,May poison opponent.,30
Sludge Wave,Poison,,95,100,10,TM34,May poison opponent.,10
Smack Down,Rock,,50,100,15,TM23,Makes Flying-type Pokémon vulnerable to Ground moves.,—
Smart Strike,Steel,,70,—,10,TM67,The user stabs the target with a sharp horn. This attack never misses.,
Smelling Salts,Normal,,70,100,10,,"Power doubles if opponent is paralyzed, but cures it.",—
Smog,Poison,,30,70,20,,May poison opponent.,40
Smokescreen,Normal,,—,100,20,,Lowers opponent's Accuracy.,—
Snap Trap,Grass,,35,100,15,,Snares the target in a snap trap for four to five turns.,
Snarl,Dark,,55,95,15,TM95,Lowers opponent's Special Attack.,100
Snatch,Dark,,—,—,10,,Steals the effects of the opponent's next move.,—
Snipe Shot,Water,,80,100,15,,Ignores moves and abilities that draw in moves.,
Snore,Normal,,50,100,15,,Can only be used if asleep. May cause flinching.,30
Soak,Water,,—,100,20,,Changes the target's type to water.,—
Soft-Boiled,Normal,,—,—,10,,User recovers half its max HP.,—
Solar Beam,Grass,,120,100,10,TM22,"Charges on first turn, attacks on second.",—
Solar Blade,Grass,,125,100,10,,"Charges on first turn, attacks on second.",
Sonic Boom,Normal,,—,90,20,,Always inflicts 20 HP.,—
Soul-Stealing 7-Star Strike,Ghost,,195,—,1,,Marshadow-exclusive Z-Move.,
Spacial Rend,Dragon,,100,95,5,,High critical hit ratio.,—
Spark,Electric,,65,100,20,,May paralyze opponent.,30
Sparkling Aria,Water,,90,100,10,,Heals the burns of its target.,
Sparkly Swirl,Fairy,,90,100,15,,Cures all status problems in the party Pokémon.,
Spectral Thief,Ghost,,90,100,10,,"The user hides in the target's shadow, steals the target's stat boosts, and then attacks.",
Speed Swap,Psychic,,—,—,10,,The user exchanges Speed stats with the target.,
Spider Web,Bug,,—,—,10,,Opponent cannot escape/switch.,—
Spike Cannon,Normal,,20,100,15,,Hits 2-5 times in one turn.,—
Spikes,Ground,,—,—,20,,Hurts opponents when they switch into battle.,—
Spiky Shield,Grass,,—,—,10,,Protects the user and inflicts damage on contact.,—
Spirit Break,Fairy,,75,100,15,,Lowers opponent's Special Attack.,
Spirit Shackle,Ghost,,80,100,10,,Prevents the opponent from switching out.,
Spit Up,Normal,,—,100,10,,Power depends on how many times the user performed Stockpile.,—
Spite,Ghost,,—,100,10,,The opponent's last move loses 2-5 PP.,—
Splash,Normal,,—,—,40,,Doesn't do ANYTHING.,—
Splintered Stormshards,Rock,,190,—,1,,Lycanroc-exclusive Z-Move.,
Splishy Splash,Water,,90,100,15,,May paralyze opponent.,30
Spore,Grass,,—,100,15,,Puts opponent to sleep.,100
Spotlight,Normal,,—,—,15,,The user shines a spotlight on the target so that only the target will be attacked during the turn.,
Stealth Rock,Rock,,—,—,20,,Damages opponent switching into battle.,—
Steam Eruption,Water,,110,95,5,,May burn opponent.,30
Steamroller,Bug,,65,100,20,,May cause flinching.,30
Steel Beam,Steel,,140,95,5,,User loses 50% of its HP.,
Steel Wing,Steel,,70,90,25,TM51,May raise user's Defense.,10
Sticky Web,Bug,,—,—,20,,Lowers opponent's Speed when switching into battle.,—
Stockpile,Normal,,—,—,20,,Stores energy for use with Spit Up and Swallow.,—
Stoked Sparksurfer,Electric,,175,—,1,,Alolan Raichu-exclusive Electric type Z-Move.,
Stomp,Normal,,65,100,20,,May cause flinching.,30
Stomping Tantrum,Ground,,75,100,10,,"Driven by frustration, the user attacks the target. If the user's previous move has failed, the power of this move doubles.",
Stone Edge,Rock,,100,80,5,TM71,High critical hit ratio.,—
Stored Power,Psychic,,20,100,10,,Power increases when user's stats have been raised.,—
Storm Throw,Fighting,,60,100,10,,Always results in a critical hit.,—
Strange Steam,Fairy,,90,95,10,,May confuse opponent.,
Strength,Normal,,80,100,15,,,—
Strength Sap,Grass,,—,100,10,,The user restores its HP by the same amount as the target's Attack stat. It also lowers the target's Attack stat.,
String Shot,Bug,,—,95,40,,Sharply lowers opponent's Speed.,—
Struggle,Normal,,50,100,—,,Only usable when all PP are gone. Hurts the user.,—
Struggle Bug,Bug,,50,100,20,,Lowers opponent's Special Attack.,100
Stuff Cheeks,Normal,,—,—,10,,"The user eats its held Berry, then sharply raises its Defense stat.",
Stun Spore,Grass,,—,75,30,,Paralyzes opponent.,—
Submission,Fighting,,80,80,20,,User receives recoil damage.,—
Substitute,Normal,,—,—,10,TM90,Uses HP to creates a decoy that takes hits.,—
Subzero Slammer,Ice,—,—,—,1,,Ice type Z-Move.,
Sucker Punch,Dark,,70,100,5,,"User attacks first, but only works if opponent is readying an attack.",—
Sunny Day,Fire,,—,—,5,TM11,Makes it sunny for 5 turns.,—
Sunsteel Strike,Steel,,100,100,5,,Ignores the target's ability.,
Super Fang,Normal,,—,90,10,,Always takes off half of the opponent's HP.,—
Superpower,Fighting,,120,100,5,,Lowers user's Attack and Defense.,—
Supersonic,Normal,,—,55,20,,Confuses opponent.,—
Supersonic Skystrike,Flying,—,—,—,1,,Flying type Z-Move.,
Surf,Water,,90,100,15,TM94,Hits all adjacent Pokémon.,—
Swagger,Normal,,—,85,15,TM87,"Opponent becomes confused, but its Attack is sharply raised.",—
Swallow,Normal,,—,—,10,,"The more times the user has performed Stockpile, the more HP is recovered.",—
Sweet Kiss,Fairy,,—,75,10,,Confuses opponent.,—
Sweet Scent,Normal,,—,—,20,,Lowers opponent's Evasiveness.,—
Swift,Normal,,60,∞,20,,Ignores Accuracy and Evasiveness.,—
Switcheroo,Dark,,—,100,15,,Swaps held items with the opponent.,—
Swords Dance,Normal,,—,—,20,TM75,Sharply raises user's Attack.,—
Synchronoise,Psychic,,120,100,15,,Hits any Pokémon that shares a type with the user.,—
Synthesis,Grass,,—,—,5,,User recovers HP. Amount varies with the weather.,—
Tackle,Normal,,40,100,35,,,—
Tail Glow,Bug,,—,—,20,,Drastically raises user's Special Attack.,—
Tail Slap,Normal,,25,85,10,,Hits 2-5 times in one turn.,—
Tail Whip,Normal,,—,100,30,,Lowers opponent's Defense.,—
Tailwind,Flying,,—,—,30,,Doubles Speed for 4 turns.,—
Take Down,Normal,,90,85,20,,User receives recoil damage.,—
Tar Shot,Rock,,—,100,15,,Lowers the opponent's Speed and makes them weaker to Fire-type moves.,
Taunt,Dark,,—,100,20,TM12,Opponent can only use moves that attack.,—
Tearful Look,Normal,,—,—,20,,The user gets teary eyed to make the target lose its combative spirit. This lowers the target's Attack and Sp. Atk stats.,
Teatime,Normal,,—,—,10,,Forces all Pokémon on the field to eat their berries.,
Techno Blast,Normal,,120,100,5,,Type depends on the Drive being held.,—
Tectonic Rage,Ground,—,—,—,1,,Ground type Z-Move.,
Teeter Dance,Normal,,—,100,20,,Confuses all Pokémon.,—
Telekinesis,Psychic,,—,—,15,,"Ignores opponent's Evasiveness for three turns, add Ground immunity.",—
Teleport,Psychic,,—,—,20,,Allows user to flee wild battles; also warps player to last PokéCenter.,—
Thief,Dark,,60,100,25,TM46,Also steals opponent's held item.,—
Thousand Arrows,Ground,,90,100,10,,Makes Flying-type Pokémon vulnerable to Ground moves.,—
Thousand Waves,Ground,,90,100,10,,Opponent cannot flee or switch.,—
Thrash,Normal,,120,100,10,,User attacks for 2-3 turns but then becomes confused.,—
